taxroll_number,effective_build_year,net_area,basement_finished,has_fireplace,assessed_value,fully_complete,lot_size,walkout_basement,air_conditioning,site_coverage,lon,lat,valuation_group_residential.south
7931561,1964,261.9,1,1,906000,1,2086.901,0,0,0.15,-113.5606567,53.48514893,0
7931553,1994,394.6,1,1,1200000,1,2557.17,0,0,0.12,-113.5604654,53.48553912,0
7931546,1965,266.6,1,1,1348500,1,2630.954,0,0,0.07,-113.5604173,53.48585345,0
7932940,1968,245.3,1,1,1040500,1,1521.305,0,0,0.13,-113.5619976,53.48918859,0
7932932,1969,152.86,1,1,748000,1,1614.106,0,0,0.14,-113.561996,53.48953006,0
7932700,1966,245.63,1,1,996500,1,1569.49,0,0,0.19,-113.5626386,53.49021086,0
7934227,1970,220.1,0,1,715500,1,1394.809,0,0,0.12,-113.5638513,53.49367942,0
7934243,1969,306.76,0,1,894000,1,1217.275,0,0,0.17,-113.5638402,53.49394447,0
7934268,1978,232.9,1,1,799500,1,1184.16,0,1,0.25,-113.5638535,53.49417815,0
7934284,1973,254.36,1,1,863000,1,1137.239,0,0,0.18,-113.5638699,53.49441185,0
7934300,1973,261.02,0,1,781500,1,1259.231,0,1,0.2,-113.5638877,53.49466352,0
7934862,2012,295.5,1,1,1371500,1,974.64,0,1,0.3,-113.5639201,53.49509497,0
7934888,1969,224.67,1,1,736500,1,1008.012,0,0,0.16,-113.5639186,53.4953286,0
7934904,1970,206.09,1,1,677500,1,1022.776,0,0,0.15,-113.563917,53.49556224,0
7934920,2014,460.4,0,0,1104000,0,1037.606,0,0,0.33,-113.5639155,53.49579587,0
7934946,1970,231.57,0,1,692500,1,1052.356,0,0,0.17,-113.5639139,53.4960295,0
7934961,1970,302.44,0,1,895000,1,1067.201,0,0,0.14,-113.5639124,53.49625864,0
7934987,1972,271.71,1,1,755500,1,1081.962,0,0,0.17,-113.5639108,53.49649227,0
4083036,1990,373.8,1,1,2014500,1,1584.77,0,0,0.17,-113.563614,53.49802331,0
7935877,1977,432.57,1,1,2174500,1,1584.564,0,1,0.2,-113.5662123,53.49935821,0
7935919,1972,337.06,1,1,1421000,1,1355.813,0,1,0.29,-113.5666619,53.49979117,0
7935935,1976,326.18,1,1,1345500,1,1307.612,0,0,0.13,-113.5670118,53.50001035,0
7959273,1971,412.04,0,1,1251000,1,3138.387,0,0,0.11,-113.5705242,53.50137767,0
7958119,1975,311.64,0,1,903500,1,1105.266,0,0,0.2,-113.5719543,53.50081668,0
